Accesion	lengh
KR822246.1	1026
KR822247.1	2898
10656	233
10656	193
11406	198
AY543071	184
16841	178
8486	262
3789	136
13652	193
DQ268764	178
15392	194
HM231165	177
2144	153
FJ696405	194
JF937655	175
9781	154
JX514065	157
DQ995353	207
X01654	177
JN205800	280
JX133088	193
DQ298019	130
	318
HF545433.1	495
HF545435.1	114
FJ705807	417
JN157804	417
CU928147	151
GU256641	160
GQ259888	152
FN868832	149
AF250878	388
AP001918	388
AP001918	682
JN233704	560
JN420336	439
AB024946	643
FN543094	809
FN543096	693
CP001919	560
CP003027	560
CP000654	560
AL513384	875
CP003223	560
CU638872	560
JN233705	740
FN432031	643
AP001918	499
CP003035	259
CP000648	148
JQ418538	262
JQ418521	534
CR942285	262
5814	593
FN543095	577
CP001919	747
CP003027	560
JN232517	260
AP012055	577
EU383016	577
AJ851089	261
AP009242	264
11759	390
AY150843	674
CP000858	262
JQ418540	445
9829	278
CP001049	227
CP000670	230
AY458016	261
CP000966	230
AF401292	258
JX182975	420
AF250878	420
JX182975	538
AF250878	540
JN420336	570
BX664015	327
BX664015	630
AP005147	142
KP347127	324
AP002527	316
U27345	739
JN626286	661
AF550415	664
AY046276	514
JF785549	477
EF219134	477
JF785550	806
U67194	582
HE654726	450
FJ696404	450
DQ449578	251
AP004237	749
DQ401103	565
EF633507	243
EU370913	374
CP003417	348
CP001123	373
JN935898	377
JQ269335	374
JN935899	374
JN247852	374
CP002895	374
FN543504	712
15054	374
AM942760	374
K02380	765
AE017042.1	1263
CP003859.1	1233
FR824043.1	1233
ADFW01000002.1	1224
CP003858.1	1218
AM902716.1	1209
HE577054.1	1206
CP010905.2	1194
HE858529.1	1164
CP001830.1	1143
AP012335.1	1143
X90708.2	1095
LN907827.1	1065
CP003889.1	1062
CP002967.1	981
CP006632.1	981
AY509004.1	978
CP000645.1	948
KM886863.1	897
KT389472.1	870
LN614756.1	840
KF719972.1	771
AF135182.4	711
ADFW01000001.1	699
BA000030.4	618
KP211414.1	561
CP003901.1	195
HE577054.1	1689
CALN01000327.1	1476
HG916826.1	1323
LN890524.1	1263
HE617160.1	1242
AM902716.1	1209
FR824043.1	1167
FN597644.1	1158
CP002634.1	1158
CP002206.1	1146
CP003857.1	1146
CP003840.1	1143
CP013672.1	1089
CP009612.1	1080
CP008695.1	1047
FN434113.1	834
HE616890.1	789
FR775240.1	699
CP003859.1	696
CAPD01000005.1	660
HE858529.1	261
BA000030.4	225
AF263519.1	1014
DQ647028.2	1014
KM234279.1	654
AF322577.2	639
EF592570.1	500
KX029331.1	396
JN983048.1	396
EU014075.1	381
FJ790886.1	348
JN983045.1	339
KT334335.1	249
JX486125.1	237
KU736868.1	224
KC414929.1	1218
	673
	651
U08850	1302
X56834	455
KT334335.1	705
LN794248.1	936
KF056330.2	726
LN794248.1	537
L29283	951
L29283	418
L29283	352
L29283	347
L29283	332
NC009800	980
NC002142	1571
NC002142	650
NC002142	347
	704
CP000272.1	1647
MRWY01000004.1	1560
CP019240.1	1557
CP019238.1	1548
CP019242.1	1538
MOFD01000166.1	1533
MIVX01000023.1	1530
FN649418.1	1526
CP018031.1	1515
MKEM01000335.1	1506
CP018023.1	1488
MNXT01000023.1	1485
KX957972.1	1422
MNUL01000039.1	1401
APJX01000011.1	1356
CP019240.1	1349
LM651928.1	1341
MQAA01000013.1	1320
MLYM01000036.1	1293
CP018031.1	1293
MPUM01000119.1	1290
AGTD01000005.1	1281
LK021130.1	1248
CP019296.1	1248
CP018682.2	1245
KX957972.1	1242
MQRH01000048.1	1240
MOMM01000027.1	1230
MQRH01000053.1	1224
MJVB01000022.1	1224
MJIC01000004.1	1224
MQRH01000041.1	1224
MNQS01000105.1	1221
MOFO01000088.1	1209
CP003742.1	1209
CP003742.1	1209
LRLW01000235.1	1209
MKFJ01000016.1	1206
CP013251.1	1206
MNUL01000105.1	1203
CP017105.1	1200
MKEM01000335.1	1200
MOJE01000055.1	1200
MOJA01000111.1	1200
LN554852.1	1197
CP003740.1	1194
CP017105.1	1194
CP018682.2	1194
MNXT01000334.1	1193
MNDF01000012.1	1191
AB702969.1	1188
FJ914220.1	1188
LRLV01000105.1	1188
MIXE01000079.1	1188
LRLN01000181.1	1188
CP017269.1	1188
AP014804.1	1188
CP017269.1	1188
MOIY01000074.1	1188
MKQI01000024.1	1188
AE014073.1	1188
MSKD01000035.1	1188
CXCY01000114.1	1188
GQ259888.1	1188
LGMC01000103.1	1188
MOLD01000168.1	1188
AOGM01000145.1	1188
CXDF01000209.1	1188
CP000913.1	1188
LRKX01000162.1	1188
CP002186.1	1188
CP003742.1	1188
MSKG01000382.1	1188
LT670843.1	1185
LGMS01000185.1	1181
CP002383.1	1178
LRKE01000216.1	1178
CP001252.1	1178
CP002383.1	1178
LGMW01000121.1	1173
LGMT01000156.1	1173
CP018775.1	1172
MNXU01000079.1	1170
MSDV01000044.1	1170
LN554848.1	1170
MNPA01000063.1	1167
LGMC01000131.1	1161
CP000753.1	1160
MNRD01000143.1	1158
CP017269.1	1152
MNRK01000014.1	1152
MNRD01000033.1	1152
CP002432.1	1151
CP019240.1	1149
MNRD01000033.1	1146
CP003879.1	1146
CP017770.1	1143
LGMC01000232.1	1140
CP001052.1	1136
CP002738.1	1136
CP003879.1	1134
CP003989.2	1134
CP003989.2	1134
CP019240.1	1128
JGVI01000044.1	1125
LN554852.1	1122
AAXY01000025.1	1122
LN554852.1	1122
CP013251.1	1122
ABCQ01000008.1	1119
LGMS01000178.1	1117
AB616660.2	1116
MOIA01000080.1	1116
LRLP01000027.1	1115
CP002017.1	1114
CP002017.1	1114
AESD01000951.1	1113
CP003742.1	1107
CP018031.1	1104
LGMW01000116.1	1102
CU928147.1	1101
MLFK01000009.1	1100
MOKM01000293.1	1098
MOKM01000200.1	1098
MJVB01000036.1	1097
CP003742.1	1095
MIWB01000054.1	1093
MOFF01000153.1	1091
MKEK01000001.1	1089
CXMY01000316.1	1086
MQUF01000021.1	1083
CP018684.2	1081
HG983279.1	1080
KX957971.1	1077
APLF01000054.1	1065
MSJV01000504.1	1062
CP018091.1	1059
LN554846.1	1053
CR378668.1	1053
MOXO01000337.1	1050
MQRH01000036.1	1050
MOXN01000077.1	1045
LRLK01000111.1	1028
LRKZ01000069.1	1002
MSKG01000425.1	981
MJIL01000013.1	972
MSKG01000291.1	972
MOIG01000044.1	969
MNFW01000015.1	968
AM746676.1	954
CP003742.1	942
CELV01000241.1	930
LRKQ01000180.1	927
LRLH01000146.1	923
MOIK01000173.1	891
CP003742.1	888
CP003740.1	888
CP003742.1	888
CP003740.1	882
CP007037.1	879
CP002616.1	879
MOCQ01000095.1	875
LGMW01000067.1	870
CP003740.1	867
CP000267.1	867
LGMW01000167.1	864
CP000039.1	858
CP017105.1	858
AHIE01000006.1	855
CP003879.1	852
CP003742.1	849
CP000034.1	837
CP002028.1	834
LRKB01000150.1	833
HE970764.1	831
LGNE01000133.1	831
LRLU01000254.1	831
CP003837.1	831
CP001383.1	825
LRMA01000117.1	825
AF074613.1	822
CP007448.1	819
FN649418.1	819
MPUO01000145.1	816
FN822745.1	816
AZMI01000001.1	813
MLPZ01000009.1	812
CP003917.1	804
LYDO01000032.1	804
LRLR01000164.1	783
CWZN01000206.1	771
LRLP01000112.1	764
CXHA01000390.1	762
CP003740.1	759
MODU01000004.1	756
MJHW01000008.1	753
CXBJ01000306.1	750
LRLA01000044.1	744
CP002017.1	735
FM954972.2	732
CP000036.1	720
LRKD01000119.1	714
FN545151.1	714
CP003740.1	711
CP003740.1	708
CP003740.1	708
CP003740.1	708
CP003740.1	708
CP003740.1	708
AM902716.1	690
CU928162.2	684
CP005930.1	678
MJVB01000022.1	678
FKHA01000014.1	678
CP003235.1	678
LRLG01000089.1	668
AJLR01000152.1	657
CP001384.1	651
APLF01000001.1	644
MOKM01000292.1	636
CWWW01000350.1	636
LGMW01000068.1	634
CYAU01000079.1	633
CXAZ01000340.1	627
CXZV01000067.1	627
MIWW01000058.1	627
MIVN01000038.1	626
CP009632.1	621
MIWW01000160.1	613
CP000036.1	609
CP019242.1	609
MOCX01000041.1	608
CVRB01000001.1	603
CP018817.1	603
MJIC01000005.1	590
MCFX02000002.1	583
AAND01000006.1	578
AKKM01000045.1	576
CYGC01000053.1	576
FCOK02000015.1	564
CP000705.1	561
LRLC01000340.1	556
MCFX02000002.1	541
FM179322.1	537
FM179322.1	537
FPLG01000151.1	531
LGMW01000166.1	531
CP000698.1	525
MKCZ01000133.1	524
LGMM01000043.1	522
CP000034.1	522
MPUO01000154.1	520
CYEF01000052.1	516
MOFA01000112.1	515
LGMY01000167.1	514
LGTC01000001.1	513
CP000690.1	513
CP000503.1	510
ABCK01000025.1	507
AP012273.1	507
CP000316.1	504
CP003740.1	504
CP001918.1	504
MOHT01000119.1	504
CXEP01000256.1	501
MNYJ01000177.1	501
CP002738.1	501
CP002738.1	501
CP007567.1	501
CP000503.1	501
LRLF01000202.1	500
CP000721.1	495
LRLG01000187.1	492
CP000503.1	492
CP012903.1	492
LRLA01000003.1	492
CP001013.1	492
CP000453.1	489
CP000036.1	489
CP013141.1	486
FRDV01000023.1	486
MNRK01000081.1	486
CP017603.1	486
AJHK02000009.1	483
CP001053.1	480
CP001046.1	480
AVVC01000064.1	480
FCOM02000090.1	474
CP001831.1	471
MCFX02000002.1	470
CP002783.1	468
CP002447.1	468
AIEV01000007.1	468
LGMX01000143.1	465
MJIC01000017.1	465
CP017250.1	465
CP001046.1	465
CP011072.1	459
CP001831.1	459
CP002783.1	459
CP002783.1	456
CP002783.1	456
CP002783.1	456
CP002783.1	456
MOIV01000035.1	454
CP000539.1	453
AQDE01000087.1	450
CP002784.1	450
FO000002.1	450
MQUF01000014.1	447
CP005973.1	447
MKEM01000273.1	447
CP000681.1	444
CP001635.1	444
CP019240.1	444
CP009122.1	444
MOHK01000618.1	441
MPGZ01000151.1	440
CP000529.1	438
CP001053.1	438
CP000616.1	435
CP001350.1	432
CP002449.1	429
CU928162.2	426
CU928162.2	426
FCOG02000101.1	426
MIVN01000038.1	426
CP005973.1	426
CP004852.1	426
FN543503.1	423
JPKL01000146.1	423
FCOG02000101.1	420
CU928162.2	420
CP000616.1	420
FCOX02000103.1	417
CP017007.1	417
AJHK02000009.1	417
JNMV01000066.1	417
CU928162.2	417
JOQL01000002.1	414
MNPD01000059.1	414
CP001350.1	411
LGTC01000001.1	411
CP000529.1	411
CP018683.2	410
CP004393.1	408
CYEP01000026.1	408
ABHC01000001.1	408
CP002738.1	408
CP002738.1	408
CP002798.1	408
CP000267.1	405
