BacMet_ID	Gene_name	Accession	gene lentgh	Organism	Location	Compound
BAC0758	abuO	B0VDE7	448	Acinetobacter baumannii	Chromosome	Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine], 
BAC0757	copR	B2CQV6	163	Sulfolobus solfataricus 98/2	Chromosome	Copper (Cu)
BAC0756	copV	Q1LA62	117	Cupriavidus metallidurans CH34	Plasmid	Copper (Cu)
BAC0755	galE	A0A1Z2RUL8	329	Uncultured bacterium	Chromosome	Cetyltrimethylammonium bromide (CTAB) [class: Quaternary Ammonium Compounds (QACs)]
BAC0754	sh-fabI	I2EC90	256	Staphylococcus aureus	Plasmid	Triclosan [class: Phenolic compounds]
BAC0753	copR	Q7X4F8	227	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0752	copS	Q7X4F9	445	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0751	czcC	Q7X4G0	476	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0750	cop-unnamed	Q7X4G1	470	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0749	copC	Q7X4G2	165	Xanthomonas euvesicatoria	Chromosome	Copper (Cu)
BAC0748	copD	F4ZBY0	309	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0747	copF	F4ZBY1	773	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0746	copG	F4ZBX7	174	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0745	copM	F4ZBX5	256	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0744	cop-unnamed	F4ZBX1	108	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0743	copL	F4ZBX2	139	Xanthomonas citri subsp. Citri	Chromosome	Copper (Cu)
BAC0742	tcrZ	Q3MNJ5	68	Enterococcus faecium	Plasmid	Copper (Cu)
BAC0741	tcrA	Q3MNJ6	811	Enterococcus faecium	Plasmid	Copper (Cu)
