ARO	AMR gene family	ARGs	Class	resistance mechanisms	Length
ARO:3000005	glycopeptide resistance gene cluster;van ligase	vanD	glycopeptide antibiotic	antibiotic target alteration	343
ARO:3000010	glycopeptide resistance gene cluster;van ligase	vanA	glycopeptide antibiotic	antibiotic target alteration	343
ARO:3000013	glycopeptide resistance gene cluster;van ligase	vanB	glycopeptide antibiotic	antibiotic target alteration	342
ARO:3000024	ATP-binding cassette (ABC) antibiotic efflux pump	patA	fluoroquinolone antibiotic	antibiotic efflux	564
ARO:3000025	ATP-binding cassette (ABC) antibiotic efflux pump	patB	fluoroquinolone antibiotic	antibiotic efflux	588
ARO:3000026	multidrug and toxic compound extrusion (MATE) transporter	mepA	glycylcycline;tetracycline antibiotic	antibiotic efflux	451
ARO:3000027	major facilitator superfamily (MFS) antibiotic efflux pump	emrA	fluoroquinolone antibiotic	antibiotic efflux	390
ARO:3000074	major facilitator superfamily (MFS) antibiotic efflux pump	emrB	fluoroquinolone antibiotic	antibiotic efflux	512
ARO:3000090	class A Bacillus anthracis Bla beta-lactamase	BLA1	penam	antibiotic inactivation	309
ARO:3000118	ABC-F ATP-binding cassette ribosomal protection protein	vgaB	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic	antibiotic target protection	552
ARO:3000124	methicillin resistant PBP2	mecI	carbapenem;cephalosporin;cephamycin;monobactam;penam	antibiotic target replacement	123
ARO:3000149	fosfomycin thiol transferase	fosA	fosfomycin	antibiotic inactivation	135
ARO:3000165	major facilitator superfamily (MFS) antibiotic efflux pump	tet(A)	tetracycline antibiotic	antibiotic efflux	424
ARO:3000166	major facilitator superfamily (MFS) antibiotic efflux pump	tet(B)	tetracycline antibiotic	antibiotic efflux	401
ARO:3000167	major facilitator superfamily (MFS) antibiotic efflux pump	tet(C)	tetracycline antibiotic	antibiotic efflux	396
ARO:3000168	major facilitator superfamily (MFS) antibiotic efflux pump	tet(D)	tetracycline antibiotic	antibiotic efflux	394
ARO:3000172	fosfomycin thiol transferase	FosB	fosfomycin	antibiotic inactivation	138
ARO:3000173	major facilitator superfamily (MFS) antibiotic efflux pump	tet(E)	tetracycline antibiotic	antibiotic efflux	405
ARO:3000174	major facilitator superfamily (MFS) antibiotic efflux pump	tet(G)	tetracycline antibiotic	antibiotic efflux	391
ARO:3000175	major facilitator superfamily (MFS) antibiotic efflux pump	tet(H)	tetracycline antibiotic	antibiotic efflux	400
ARO:3000177	major facilitator superfamily (MFS) antibiotic efflux pump	tet(J)	tetracycline antibiotic	antibiotic efflux	398
ARO:3000178	major facilitator superfamily (MFS) antibiotic efflux pump	tet(K)	tetracycline antibiotic	antibiotic efflux	459
ARO:3000179	major facilitator superfamily (MFS) antibiotic efflux pump	tet(L)	tetracycline antibiotic	antibiotic efflux	458
ARO:3000180	major facilitator superfamily (MFS) antibiotic efflux pump	tetA(P)	tetracycline antibiotic	antibiotic efflux	420
ARO:3000181	major facilitator superfamily (MFS) antibiotic efflux pump	tet(V)	tetracycline antibiotic	antibiotic efflux	419
ARO:3000182	major facilitator superfamily (MFS) antibiotic efflux pump	tet(Y)	tetracycline antibiotic	antibiotic efflux	391
ARO:3000183	major facilitator superfamily (MFS) antibiotic efflux pump	tet(Z)	tetracycline antibiotic	antibiotic efflux	384
ARO:3000186	tetracycline-resistant ribosomal protection protein	tetM	tetracycline antibiotic	antibiotic target protection	639
ARO:3000190	tetracycline-resistant ribosomal protection protein	tetO	tetracycline antibiotic	antibiotic target protection	639
ARO:3000191	tetracycline-resistant ribosomal protection protein	tetQ	tetracycline antibiotic	antibiotic target protection	657
ARO:3000192	tetracycline-resistant ribosomal protection protein	tetS	tetracycline antibiotic	antibiotic target protection	641
ARO:3000193	tetracycline-resistant ribosomal protection protein	tetT	tetracycline antibiotic	antibiotic target protection	651
ARO:3000194	tetracycline-resistant ribosomal protection protein	tetW	tetracycline antibiotic	antibiotic target protection	639
ARO:3000195	tetracycline-resistant ribosomal protection protein	tetB(P)	tetracycline antibiotic	antibiotic target protection	652
ARO:3000196	tetracycline-resistant ribosomal protection protein	tet32	tetracycline antibiotic	antibiotic target protection	639
ARO:3000197	tetracycline-resistant ribosomal protection protein	tet36	tetracycline antibiotic	antibiotic target protection	640
ARO:3000198	fosfomycin thiol transferase	FosX	fosfomycin	antibiotic inactivation	133
ARO:3000205	tetracycline inactivation enzyme	tetX	glycylcycline;tetracycline antibiotic	antibiotic inactivation	388
ARO:3000206	major facilitator superfamily (MFS) antibiotic efflux pump	emrK	tetracycline antibiotic	antibiotic efflux	351
ARO:3000215	methicillin resistant PBP2	mecR1	carbapenem;cephalosporin;cephamycin;monobactam;penam	antibiotic target replacement	585
ARO:3000216	resistance-nodulation-cell division (RND) antibiotic efflux pump	acrB	cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux	1049
ARO:3000217	blaZ beta-lactamase	blaR1	penam	antibiotic inactivation	588
ARO:3000230	ANT(2'')	ANT(2'')-Ia	aminoglycoside antibiotic	antibiotic inactivation	177
